,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext
1978-10-01,2476.949,2501.54,6734.069,30119.0,-16.4,2460.549,1700.067,1481.354,26.394,67.5,47.733,9.09,5.9,102.17000000000002,384950000.0,96.53333333333335,94.65333333333335
1979-01-01,2526.61,2552.29,6746.176,30096.0,-18.159,2508.451,1683.258,1517.141,27.379,69.2,49.967,9.5,5.9,94.65333333333335,312850000.6666667,102.17000000000002,99.26666666666667
1979-04-01,2591.247,2620.698,6753.389,30050.0,-22.189,2569.058,1699.659,1557.635,28.337,71.4,57.067,9.5,5.7,99.26666666666667,322451853.0,94.65333333333335,101.25
1979-07-01,2667.565,2703.659,6803.558,30182.0,-23.029,2644.536,1704.624,1611.867,29.582,73.7,68.3,10.21,5.9,101.25,366685185.0,99.26666666666667,107.48333333333333
1979-10-01,2723.883,2760.381,6820.572,30164.0,-26.802,2697.0809999999997,1715.85,1655.035,30.919,76.033,74.567,11.92,6.0,107.48333333333333,411061111.0,101.25,105.30666666666666
1980-01-01,2789.842,2827.831,6842.024,30174.0,-35.803,2754.039,1741.034,1702.302,32.439,79.033,81.0,12.51,6.3,105.30666666666666,411442592.6666667,107.48333333333333,109.96999999999998
1980-04-01,2797.352,2833.163,6701.046,29470.0,-15.211,2782.141,1744.456,1704.723,33.393,81.7,86.433,12.45,7.3,109.96999999999998,553929629.3333334,105.30666666666666,110.58999999999999
1980-07-01,2856.483,2890.897,6693.082,29347.0,5.471,2861.954,1720.713,1763.771,34.543,83.233,87.9,10.35,7.7,110.58999999999999,420133332.6666667,109.96999999999998,123.17
1980-10-01,2985.557,3014.083,6817.903,29813.0,-6.682,2978.875,1720.334,1831.874,36.335,85.567,89.067,11.78,7.4,123.17,563914814.0,110.58999999999999,134.58333333333334
1981-01-01,3124.206,3155.609,6951.495,30335.0,-14.259,3109.947,1743.343,1885.734,37.665,87.933,101.167,13.0,7.4,134.58333333333334,563990740.0,123.17,132.27333333333334
1981-04-01,3162.532,3192.545,6899.98,30042.0,-13.508,3149.0240000000003,1746.695,1917.524,38.9,89.767,106.833,13.62,7.4,132.27333333333334,545622222.6666666,134.58333333333334,132.20333333333335
